time_ns,mid_V,rload_V,L1_i_A,Vdd_i_A,M1_vds_V,M1_vgs_V,M2_vds_V,M2_vgs_V,M1_id_A,M2_id_A
849.809,1.1012,-3.1414,-1.2319,-5.1942,71.3988,0.0000,1.1012,8.4216,0.000000,50.751706
850.222,0.0426,-4.6646,-1.8293,-0.0996,72.4574,0.0000,0.0426,10.0000,0.000000,2.837350
861.586,0.2185,-36.7405,-14.4080,0.0021,72.2815,0.0000,0.2185,10.0000,0.000000,14.368484
875.625,0.1585,-31.2002,-12.2354,-0.0990,72.3415,0.0000,0.1585,9.3728,0.000000,9.499322
877.642,3.7272,-26.3663,-10.3397,2.3662,68.7728,0.0000,3.7272,0.0000,0.000000,0.000000
883.817,34.0119,-7.1537,-2.8054,1.0042,38.4881,0.0000,34.0119,0.0000,0.000000,0.000000
886.458,53.9710,2.0012,0.7848,-51.8493,18.5290,7.2906,53.9710,0.0000,84.004929,0.000000
886.892,72.4151,3.6047,1.4136,-0.0977,0.0849,9.4625,72.4151,0.0000,5.194880,0.000000
893.640,72.3455,26.1106,10.2394,-10.2261,0.1545,10.0000,72.3455,0.0000,10.208422,0.000000
910.647,72.2896,35.2618,13.8282,-13.8343,0.2104,10.0000,72.2896,0.0000,13.842745,0.000000
914.768,62.0127,26.0364,10.2103,-3.8490,10.4873,0.0000,62.0127,0.0000,0.000000,0.000000
922.390,26.9032,1.0031,0.3934,0.5716,45.5968,0.0000,26.9032,2.5773,0.000000,0.000000
923.475,2.9769,-2.8689,-1.1250,-16.7492,69.5231,0.0000,2.9769,7.9988,0.000000,97.775227
923.875,0.0943,-4.3551,-1.7079,-0.5498,72.4057,0.0000,0.0943,10.0000,0.000000,6.254933
927.789,0.1059,-18.1200,-7.1059,0.0101,72.3941,0.0000,0.1059,10.0000,0.000000,7.022781
943.808,0.2397,-40.0686,-15.7132,-0.0002,72.2603,0.0000,0.2397,10.0000,0.000000,15.733902
951.031,2.0817,-27.4277,-10.7560,1.1108,70.4183,0.0000,2.0817,1.0950,0.000000,0.000000
954.113,19.9411,-18.6530,-7.3149,2.3197,52.5589,0.0000,19.9411,0.0000,0.000000,0.000000
959.793,37.1615,0.5611,0.2201,-12.3466,35.3385,5.2146,37.1615,0.0000,21.028561,0.000000
960.534,72.3906,3.2287,1.2662,-7.6682,0.1094,8.9176,72.3906,0.0000,6.099412,0.000000
963.172,72.4248,12.8307,5.0316,-5.0153,0.0752,10.0000,72.4248,0.0000,4.994204,0.000000
980.480,72.2579,40.5098,15.8862,-15.8880,0.2421,10.0000,72.2579,0.0000,15.891161,0.000000
988.125,65.6210,27.2056,10.6689,-4.0710,6.8790,0.0000,65.6210,0.0000,0.000000,0.000000
995.750,26.2338,2.3865,0.9359,0.3876,46.2662,0.0000,26.2338,0.6250,0.000000,0.000000
997.172,5.5789,-2.7007,-1.0591,-25.6898,66.9211,0.0000,5.5789,7.7362,0.000000,102.993570
997.537,0.1260,-4.0605,-1.5924,-0.6383,72.3740,0.0000,0.1260,9.5606,0.000000,7.801254
998.805,0.0500,-8.7274,-3.4225,0.0104,72.4500,0.0000,0.0500,10.0000,0.000000,3.329522
